,Total Return [%],Sharpe Ratio,Max Drawdown [%],Win Rate [%],Expectancy,Exposure Time [%]
ADA/BTC,,,,15.561224489795919,-0.11722319386967003,
ALGO/BTC,,,,19.747899159663866,-0.13146903381441558,
ATOM/BTC,,,,14.378238341968913,-0.12104608904114363,
AVA/BTC,,,,21.88679245283019,-0.16918994944987,
BCH/BTC,,,,12.941176470588237,-0.11781277931368378,
BEL/BTC,,,,29.377431906614788,-0.14129176690838585,
BNB/BTC,,,,13.37748344370861,-0.11675395783640008,
CRV/BTC,,,,19.066666666666666,-0.1241203301060292,
CTXC/BTC,,,,20.555555555555554,-0.22325253179358093,
DASH/BTC,,,,16.7574931880109,-0.12485866444335261,
DIA/BTC,,,,20.853858784893266,-0.1354217168389228,
DOGE/BTC,,,,12.584269662921349,-0.11081439600997786,
DOT/BTC,,,,16.18421052631579,-0.12102486208529084,
EGLD/BTC,,,,15.006305170239598,-0.11785115790361786,
EOS/BTC,,,,17.092866756393,-0.1249863693429735,
ETC/BTC,,,,11.953727506426736,-0.11861451252827607,
ETH/BTC,,,,10.222804718217562,-0.11797255786215663,
FET/BTC,,,,16.25,-0.11849960141436225,
GAS/BTC,,,,13.88888888888889,-0.1860830486187277,
HBAR/BTC,,,,14.425162689804772,-0.10729818543628176,
HIVE/BTC,,,,17.46641074856046,-0.1742186974455725,
IOTA/BTC,,,,20.25862068965517,-0.13474994300109316,
KAVA/BTC,,,,23.26139088729017,-0.17795137791840734,
LINK/BTC,,,,16.733601070950467,-0.12381136179815413,
LTC/BTC,,,,19.416243654822335,-0.1157133773338574,
MANA/BTC,,,,18.61252115059222,-0.14637760322421528,
MKR/BTC,,,,19.06040268456376,-0.11266987666059217,
NEO/BTC,,,,14.606741573033707,-0.12802828415279444,
PAXG/BTC,,,,10.46979865771812,-0.12218668079051101,
QTUM/BTC,,,,19.391025641025642,-0.14307012143059855,
RLC/BTC,,,,23.569794050343248,-0.18016926203298586,
RUNE/BTC,,,,19.812583668005352,-0.1149945946879112,
SAND/BTC,,,,13.881019830028329,-0.12972546484761122,
SNX/BTC,,,,19.652173913043477,-0.15233968386403154,
SOL/BTC,,,,14.882506527415144,-0.12057351536406782,
STEEM/BTC,,,,8.58806404657933,-0.1447982636072513,
STX/BTC,,,,16.883116883116884,-0.11942833909938988,
SUSHI/BTC,,,,20.212765957446805,-0.12069213271507599,
THETA/BTC,,,,17.001338688085678,-0.12305074783707176,
TRX/BTC,,,,7.846556233653009,-0.0869880026773378,
UNI/BTC,,,,15.968586387434556,-0.12091743264049576,
WBTC/BTC,,,,0.0,-0.11133177126213266,
XLM/BTC,,,,11.395646606914212,-0.12222603638554247,
XRP/BTC,,,,16.015625,-0.11761920178327845,
XTZ/BTC,,,,15.049226441631506,-0.1297084862489899,
YFI/BTC,,,,19.001919385796544,-0.15382423620572944,
ZEC/BTC,,,,18.55807743658211,-0.12628832844417578,
ZEN/BTC,,,,23.162939297124602,-0.14145826904097036,
agg_func_mean,-90.15517114658337,-47.849470581295805,90.41654795447539,,,
