,Total Return [%],Sharpe Ratio,Max Drawdown [%],Win Rate [%],Expectancy,Exposure Time [%]
ADA/BTC,,,,19.672131147540984,-0.23491489339557056,
ALGO/BTC,,,,20.233463035019454,-0.2842964155043185,
ATOM/BTC,,,,18.75,-0.23092135166557995,
AVA/BTC,,,,22.19020172910663,-0.2285564959684342,
BCH/BTC,,,,12.280701754385964,-0.1880973667946065,
BEL/BTC,,,,31.470588235294116,-0.1551518836401457,
BNB/BTC,,,,17.379679144385026,-0.16761632882184463,
CRV/BTC,,,,19.005847953216374,-0.21661889283116623,
CTXC/BTC,,,,24.378109452736318,-0.3085241258956102,
DASH/BTC,,,,19.248826291079812,-0.18301427961241673,
DIA/BTC,,,,25.356125356125357,-0.1611350411246187,
DOGE/BTC,,,,10.0,-0.39790759451139684,
DOT/BTC,,,,18.67704280155642,-0.24388412430070944,
EGLD/BTC,,,,19.431279620853083,-0.18179181579903697,
EOS/BTC,,,,19.879518072289155,-0.2186177977380156,
ETC/BTC,,,,12.4031007751938,-0.18960395926753193,
ETH/BTC,,,,15.047021943573668,-0.2014862110218277,
FET/BTC,,,,18.6046511627907,-0.21488994105668896,
GAS/BTC,,,,17.760617760617762,-0.25477089662324554,
HBAR/BTC,,,,18.34319526627219,-0.41247769271791357,
HIVE/BTC,,,,18.75,-0.2641920960007407,
IOTA/BTC,,,,19.282511210762333,-0.3066981411771579,
KAVA/BTC,,,,27.106227106227106,-0.21507026585080036,
LINK/BTC,,,,17.2972972972973,-0.20792818729750673,
LTC/BTC,,,,22.972972972972975,-0.1934024980040386,
MANA/BTC,,,,18.97810218978102,-0.24361854669831087,
MKR/BTC,,,,24.86631016042781,-0.15007209272829947,
NEO/BTC,,,,17.424242424242426,-0.19034696159872602,
PAXG/BTC,,,,11.738148984198645,-0.1759435375699761,
QTUM/BTC,,,,19.892473118279568,-0.20667981887202042,
RLC/BTC,,,,22.591362126245848,-0.2405742447160747,
RUNE/BTC,,,,24.517906336088156,-0.15375460943133518,
SAND/BTC,,,,16.319444444444446,-0.22915346299505399,
SNX/BTC,,,,25.297619047619047,-0.20553079023554893,
SOL/BTC,,,,17.379679144385026,-0.1978681740910877,
STEEM/BTC,,,,10.185185185185185,-0.386083743588613,
STX/BTC,,,,21.052631578947366,-0.1917470317769327,
SUSHI/BTC,,,,21.246458923512748,-0.20463288517046058,
THETA/BTC,,,,19.721577726218097,-0.17997025908635475,
TRX/BTC,,,,7.638888888888889,-0.4972794661209581,
UNI/BTC,,,,20.334261838440113,-0.19576740009795254,
WBTC/BTC,,,,0.0,-0.22356665205479995,
XLM/BTC,,,,13.043478260869565,-0.2964206266243632,
XRP/BTC,,,,12.868632707774799,-0.2000493750435414,
XTZ/BTC,,,,19.77715877437326,-0.19828925027640387,
YFI/BTC,,,,23.426573426573427,-0.20048691946589925,
ZEC/BTC,,,,19.491525423728813,-0.1808902653305972,
ZEN/BTC,,,,24.050632911392405,-0.19695691883887903,
agg_func_mean,-70.0404675341152,-27.015704479115282,70.86924614999742,,,
