,Total Return [%],Sharpe Ratio,Max Drawdown [%],Win Rate [%],Expectancy,Exposure Time [%]
ADA/BTC,,,,,,
ALGO/BTC,,,,,,
ATOM/BTC,,,,,,
BCH/BTC,,,,,,
BEL/BTC,,,,100.0,0.7485488130185672,
BNB/BTC,,,,,,
CRV/BTC,,,,,,
DASH/BTC,,,,,,
DIA/BTC,,,,,,
DOGE/BTC,,,,,,
DOT/BTC,,,,,,
EGLD/BTC,,,,,,
ENJ/BTC,,,,,,
EOS/BTC,,,,,,
ETC/BTC,,,,,,
ETH/BTC,,,,,,
FET/BTC,,,,,,
GAS/BTC,,,,,,
HBAR/BTC,,,,,,
IOTA/BTC,,,,,,
KAVA/BTC,,,,0.0,-0.29955052443805696,
LINK/BTC,,,,,,
LTC/BTC,,,,,,
MANA/BTC,,,,,,
MKR/BTC,,,,,,
NEO/BTC,,,,,,
ONG/BTC,,,,,,
ONT/BTC,,,,40.0,-0.03450000698146466,
PAXG/BTC,,,,,,
POWR/BTC,,,,,,
QTUM/BTC,,,,54.54545454545454,-0.2823683237611935,
RUNE/BTC,,,,25.0,-3.3969837345498552,
SAND/BTC,,,,,,
SOL/BTC,,,,,,
STEEM/BTC,,,,,,
STX/BTC,,,,,,
SUSHI/BTC,,,,,,
THETA/BTC,,,,,,
TRX/BTC,,,,,,
UNI/BTC,,,,,,
WBTC/BTC,,,,,,
XLM/BTC,,,,,,
XRP/BTC,,,,,,
XTZ/BTC,,,,,,
YFI/BTC,,,,,,
ZEC/BTC,,,,,,
ZEN/BTC,,,,,,
agg_func_mean,-0.3493082605510497,inf,7.0988269955656635,,,
